gamma,seed,visited_decision_state_action_pairs,sufficiently_visited_decision_state_action_pairs,max_abs_scaled_m_minus_q_sufficient,max_abs_scaled_m_minus_q_all_decision,policy_disagreement_rate,policy_disagreement_count,policy_comparable_non_tie_state_count,policy_tie_state_count,policy_insufficient_state_count,q_mean_raw_return,m_mean_raw_return,q_mean_normalized_return,m_mean_normalized_return,q_success_rate,m_success_rate,q_mean_steps_elapsed,m_mean_steps_elapsed,q_mean_cliff_fall_count,m_mean_cliff_fall_count,learned_q_bellman_residual,learned_scaled_m_bellman_residual
0.95,0,148,148,4.263256414560601e-14,4.263256414560601e-14,0.0,0,3,34,0,-200.0,-200.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,0.001314926147461648,0.0013149261474652008
0.95,1,148,148,4.263256414560601e-14,4.263256414560601e-14,0.0,0,0,37,0,-200.0,-200.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,3.552713678800501e-15,3.552713678800501e-15
0.95,2,148,148,4.263256414560601e-14,4.263256414560601e-14,0.0,0,0,37,0,-200.0,-200.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,3.552713678800501e-15,3.552713678800501e-15
0.95,3,148,148,4.263256414560601e-14,4.263256414560601e-14,0.0,0,2,35,0,-200.0,-200.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,0.07812499999999645,0.078125
0.95,4,148,147,4.618527782440651e-14,4.618527782440651e-14,0.0,0,4,32,1,-200.0,-200.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,2.0135996107293224,2.013599610729333
0.95,5,148,148,4.263256414560601e-14,4.263256414560601e-14,0.0,0,0,37,0,-200.0,-200.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,3.552713678800501e-15,3.552713678800501e-15
0.95,6,148,143,4.263256414560601e-14,4.263256414560601e-14,0.0,0,2,32,3,-200.0,-200.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,15.765841903381826,15.765841903381864
0.95,7,148,148,4.263256414560601e-14,4.263256414560601e-14,0.0,0,0,37,0,-200.0,-200.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,3.552713678800501e-15,3.552713678800501e-15
0.95,8,145,143,4.263256414560601e-14,4.263256414560601e-14,0.0,0,2,33,2,-200.0,-200.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,19.999999999999883,19.999999999999925
0.95,9,148,148,4.263256414560601e-14,4.263256414560601e-14,0.0,0,1,36,0,-200.0,-200.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,0.008179605405270962,0.008179605405270962
0.99,0,130,126,4.973799150320701e-13,4.973799150320701e-13,0.0,0,1,29,7,-200.0,-200.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,99.9999999999978,99.99999999999828
0.99,1,142,136,5.115907697472721e-13,5.115907697472721e-13,0.0,0,1,32,4,-200.0,-200.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,99.9999999999978,99.99999999999828
0.99,2,148,148,4.831690603168681e-13,4.831690603168681e-13,0.0,0,1,36,0,-200.0,-200.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0030692199302819745,0.0030692199302819745
0.99,3,143,140,4.973799150320701e-13,4.973799150320701e-13,0.0,0,2,32,3,-200.0,-200.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,99.99999999999609,99.99999999999656
0.99,4,143,139,4.831690603168681e-13,4.831690603168681e-13,0.0,0,3,31,3,-200.0,-200.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,99.9999999999978,99.99999999999828
0.99,5,146,142,4.973799150320701e-13,4.973799150320701e-13,0.0,0,4,30,3,-200.0,-200.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,99.99999580088549,99.99999580088597
0.99,6,142,134,4.973799150320701e-13,4.973799150320701e-13,0.0,0,4,28,5,-200.0,-200.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,99.99924468985007,99.99924468985054
0.99,7,148,147,4.973799150320701e-13,4.973799150320701e-13,0.0,0,1,35,1,-200.0,-200.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,0.8054671287536479,0.8054671287536621
0.99,8,145,136,4.973799150320701e-13,4.973799150320701e-13,0.0,0,0,33,4,-200.0,-200.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,99.9999999999978,99.99999999999828
0.99,9,147,143,4.831690603168681e-13,4.831690603168681e-13,0.0,0,1,34,2,-200.0,-200.0,200.0,200.0,0.0,0.0,200.0,200.0,0.0,0.0,99.9999999999978,99.99999999999828
