alias_regime,method,num_rows,mean_heldout_long_horizon_value_mse,mean_policy_regret,teleport_action_rate,mean_calibration_error,mean_teleport_q_overestimation,mean_teleport_q_underestimation,action_disagreement_rate
bad_hub_alias,history_mc_only,1,0.2258624250000001,0.0,0.0,0.4009500000000001,0.0,0.14580000000000004,0.0
bad_hub_alias,history_mc_plus_trl_log,1,2.465190328815662e-32,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0
bad_hub_alias,history_model_dp,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bad_hub_alias,history_trl_log,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bad_hub_alias,latent_oracle_dp,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bad_hub_alias,observation_empirical_model_dp,1,0.03871200867768592,0.0,0.0,0.14825454545454536,0.2776090909090908,0.0,0.0
bad_hub_alias,observation_trl_log,1,0.03871200867768592,0.0,0.0,0.14825454545454536,0.2776090909090908,0.0,0.0
good_hub_alias,history_mc_only,1,0.4550463562500001,0.03644999999999987,0.0,0.6743250000000001,0.0,0.69255,1.0
good_hub_alias,history_mc_plus_trl_log,1,8.011868568650901e-32,0.0,1.0,2.7755575615628914e-16,3.3306690738754696e-16,0.0,0.0
good_hub_alias,history_model_dp,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
good_hub_alias,history_trl_log,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
good_hub_alias,latent_oracle_dp,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
good_hub_alias,observation_empirical_model_dp,1,0.03639701947314051,0.03644999999999987,0.0,0.14402045454545453,0.0,0.26914090909090915,1.0
good_hub_alias,observation_trl_log,1,0.03639701947314051,0.03644999999999987,0.0,0.14402045454545453,0.0,0.26914090909090915,1.0
