family,context,method,num_rows,weight_sum,mean_heldout_long_horizon_value_mse,mean_policy_regret,teleport_action_rate,mean_calibration_error,mean_teleport_q_overestimation,mean_teleport_q_underestimation,action_disagreement_rate
cue_insufficient,bad,history_mc_only,5,5.0,0.22426810200000008,0.0,0.0,0.39366000000000007,0.0,0.13122,0.0
cue_insufficient,bad,history_mc_plus_trl_log,5,5.0,0.03949270931250003,0.0,0.0,0.14033250000000014,0.2806650000000001,0.0,0.0
cue_insufficient,bad,history_model_dp,5,5.0,0.039492709312500006,0.0,0.0,0.14033250000000003,0.28066500000000005,0.0,0.0
cue_insufficient,bad,history_trl_log,5,5.0,0.039492709312500006,0.0,0.0,0.14033250000000003,0.28066500000000005,0.0,0.0
cue_insufficient,bad,latent_oracle_dp,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cue_insufficient,bad,observation_empirical_model_dp,5,5.0,0.040845526586776856,0.0,0.0,0.15186272727272723,0.28482545454545455,0.0,0.0
cue_insufficient,bad,observation_trl_log,5,5.0,0.040845526586776856,0.0,0.0,0.15186272727272723,0.28482545454545455,0.0,0.0
cue_insufficient,good,history_mc_only,5,5.0,0.4550463562500001,0.03644999999999987,0.0,0.6743250000000001,0.0,0.69255,1.0
cue_insufficient,good,history_mc_plus_trl_log,5,5.0,0.03949270931249997,0.03644999999999987,0.0,0.14033250000000005,0.0,0.2806649999999999,1.0
cue_insufficient,good,history_model_dp,5,5.0,0.039492709312499985,0.03644999999999987,0.0,0.14033249999999997,0.0,0.28066499999999994,1.0
cue_insufficient,good,history_trl_log,5,5.0,0.039492709312499985,0.03644999999999987,0.0,0.14033249999999997,0.0,0.28066499999999994,1.0
cue_insufficient,good,latent_oracle_dp,5,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cue_insufficient,good,observation_empirical_model_dp,5,5.0,0.03851443310950413,0.03644999999999987,0.0,0.1477022727272727,0.0,0.2765045454545455,1.0
cue_insufficient,good,observation_trl_log,5,5.0,0.03851443310950413,0.03644999999999987,0.0,0.1477022727272727,0.0,0.2765045454545455,1.0
cue_noisy,bad,history_mc_only,10,5.0,0.22758960825000005,0.0,0.0,0.40459500000000004,0.0,0.15309,0.0
cue_noisy,bad,history_mc_plus_trl_log,10,5.0,0.03809293167857148,0.0,0.0,0.1317407142857145,0.26348142857142876,0.0,0.0
cue_noisy,bad,history_model_dp,10,5.0,0.03809293167857143,0.0,0.0,0.1317407142857143,0.2634814285714286,0.0,0.0
cue_noisy,bad,history_trl_log,10,5.0,0.03809293167857143,0.0,0.0,0.1317407142857143,0.2634814285714286,0.0,0.0
cue_noisy,bad,latent_oracle_dp,10,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cue_noisy,bad,observation_empirical_model_dp,10,5.0,0.037873081803719,0.0,0.0,0.1464504545454545,0.2740009090909091,0.0,0.0
cue_noisy,bad,observation_trl_log,10,5.0,0.037873081803719,0.0,0.0,0.1464504545454545,0.2740009090909091,0.0,0.0
cue_noisy,good,history_mc_only,10,5.0,0.4550463562500001,0.036449999999999864,0.0,0.6743250000000001,0.0,0.69255,1.0
cue_noisy,good,history_mc_plus_trl_log,10,5.0,0.038092931678571376,0.036449999999999864,0.0,0.13174071428571427,0.0,0.26348142857142837,1.0
cue_noisy,good,history_model_dp,10,5.0,0.03809293167857142,0.036449999999999864,0.0,0.13174071428571427,0.0,0.26348142857142853,1.0
cue_noisy,good,history_trl_log,10,5.0,0.03809293167857142,0.036449999999999864,0.0,0.13174071428571427,0.0,0.26348142857142853,1.0
cue_noisy,good,latent_oracle_dp,10,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cue_noisy,good,observation_empirical_model_dp,10,5.0,0.0355755388946281,0.036449999999999864,0.0,0.14217954545454542,0.0,0.2654590909090909,1.0
cue_noisy,good,observation_trl_log,10,5.0,0.0355755388946281,0.036449999999999864,0.0,0.14217954545454542,0.0,0.2654590909090909,1.0
cue_sufficient,bad,history_mc_only,5,5.0,0.2251981237500001,0.0,0.0,0.39730500000000013,0.0,0.13851000000000005,0.0
cue_sufficient,bad,history_mc_plus_trl_log,5,5.0,2.472894048593211e-32,0.0,0.0,1.1379786002407854e-16,5.551115123125783e-18,0.0,0.0
cue_sufficient,bad,history_model_dp,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cue_sufficient,bad,history_trl_log,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cue_sufficient,bad,latent_oracle_dp,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cue_sufficient,bad,observation_empirical_model_dp,5,5.0,0.03981131507231404,0.0,0.0,0.1500586363636363,0.2812172727272727,0.0,0.0
cue_sufficient,bad,observation_trl_log,5,5.0,0.03981131507231404,0.0,0.0,0.1500586363636363,0.2812172727272727,0.0,0.0
cue_sufficient,good,history_mc_only,5,5.0,0.4550463562500001,0.03644999999999987,0.0,0.6743250000000001,0.0,0.69255,1.0
cue_sufficient,good,history_mc_plus_trl_log,5,5.0,8.011868568650901e-32,0.0,1.0,2.7755575615628914e-16,3.3306690738754696e-16,0.0,0.0
cue_sufficient,good,history_model_dp,5,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cue_sufficient,good,history_trl_log,5,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cue_sufficient,good,latent_oracle_dp,5,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cue_sufficient,good,observation_empirical_model_dp,5,5.0,0.03748961575413223,0.03644999999999987,0.0,0.14586136363636362,0.0,0.27282272727272733,1.0
cue_sufficient,good,observation_trl_log,5,5.0,0.03748961575413223,0.03644999999999987,0.0,0.14586136363636362,0.0,0.27282272727272733,1.0
